company_name,number_of_seat,departure_date,departure_time,duration_minutes,pickup_point,dropoff_point,price_original,price_discounted
Đức Phát,11,15-10-2025,07:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,17:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,07:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,16:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,14:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,12:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,15:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,08:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,12:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,10:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,19:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,19:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,20:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,17:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,13:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,16:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,18:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,11:00:00,120,Văn phòng,Văn phòng,180000,0
Đức Phát,11,15-10-2025,11:00:00,150,Văn phòng,Văn phòng,200000,0
Đức Phát,11,15-10-2025,14:00:00,150,Văn phòng,Văn phòng,200000,0
Vân Anh Limousine,24,15-10-2025,14:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,16:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,15:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,19:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,18:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,17:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,17:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,12:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,20:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,20:30:00,180,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,21:00:00,180,Bến xe,Bến xe,230000,0
Vân Anh Limousine,24,15-10-2025,18:30:00,210,Bến xe,Văn phòng,230000,0
Vân Anh Limousine,24,15-10-2025,15:30:00,210,Bến xe,Văn phòng,230000,0
FUTA HÀ SƠN,34,15-10-2025,08:30:00,120,Bến xe,Other,200000,0
FUTA HÀ SƠN,34,15-10-2025,12:40:00,120,Bến xe,Other,200000,0
FUTA HÀ SƠN,34,15-10-2025,19:30:00,120,Bến xe,Other,200000,0
FUTA HÀ SƠN,34,15-10-2025,17:20:00,150,Bến xe,Other,300000,0
FUTA HÀ SƠN,34,15-10-2025,10:30:00,120,Bến xe,Other,200000,0
