bus_name,bus_rating,seat_type,departure_time,pick_up_point,duration,arrival_time,drop_of_point,departure_date,original_price,sale_price,percent_discount,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,start_point,destination,bus_rating_score,bus_rating_count
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,19:25,• Cổng Bến xe Miền Đông Mới,6h5m,01:30,• Ngã 3 Thành,(12/10),500000.0,500000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:25,• Cầu vượt Tân Thới Hiệp,6h55m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,16:55,• Hương Lộ 2,7h30m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng,17:30,• Cổng Bến xe Miền Đông Mới,8h55m,02:25,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Liên Hưng,4 (12922),Limousine 32 giường (WC),20:45,• Cầu Vượt Linh Xuân,4h45m,01:30,• Bưu điện Cam Lâm,(12/10),330000.0,280000.0,-15,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,Sài Gòn,Nha Trang,4.0,12922
Phúc Yên,4.6 (741),Limousine 34 phòng,17:30,• Bến xe Miền Đông mới,8h,01:30,• Nha Trang (Dọc quốc lộ 1A),(12/10),290000.0,290000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,741
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:15,• Văn Phòng Sài Gòn,7h40m,05:55,• Chợ Vĩnh Lương,(12/10),480000.0,480000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Năm Rùm,3.9 (287),Giường nằm 40 chỗ,17:10,• Cầu vượt Linh Xuân,8h50m,02:00,• Ngã 3 Thành.,(12/10),200000.0,200000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.9,287
Phúc Yên,4.6 (741),Limousine 34 phòng,17:10,• Cây xăng Quốc Phong,8h30m,01:40,• Nha Trang (Dọc quốc lộ 1A),(12/10),290000.0,290000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,741
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,19:26,• Cầu vượt Linh Xuân,6h15m,01:41,• Ngã 3 Thành,(12/10),770000.0,770000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),23:00,• Nhà chờ Phương Trang - Ngã tư Thủ Đức,6h45m,05:45,• Văn Phòng Nha Trang,(12/10),470000.0,470000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng Đôi,18:02,• Văn Phòng Tân Phú,9h,03:02,• Ngã 3 Thành,(12/10),770000.0,770000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:50,• Cổng Bến xe Miền Đông Mới,6h5m,23:55,• Ngã 3 Thành,,600000.0,600000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,19:11,• Ngã 4 Bình Phước,6h30m,01:41,• Ngã 3 Thành,(12/10),770000.0,770000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,19:21,• Cầu Vượt Sóng Thần,6h20m,01:41,• Ngã 3 Thành,(12/10),770000.0,770000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng,16:31,• Bến xe Miền Tây,9h55m,02:26,• Ngã 3 Thành,(12/10),550000.0,550000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Liên Hưng,4 (12922),Limousine 34 giường (mới),20:00,• Hóc Môn,9h45m,05:45,• Văn Phòng Diên Toàn,(12/10),373000.0,320000.0,-14,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,Sài Gòn,Nha Trang,4.0,12922
Dũng Lệ,3.8 (60),Limousine 24 Phòng Đôi,18:15,• Vp. Bình Tân,7h30m,01:45,• Nha Trang (Dọc QL1A),(12/10),500000.0,500000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.8,60
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng,18:00,• Văn Phòng Tân Phú,9h,03:00,• Ngã 3 Thành,(12/10),500000.0,500000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),23:00,• Nhà chờ Phương Trang - Ngã tư Thủ Đức,6h55m,05:55,• Chợ Vĩnh Lương,(12/10),480000.0,480000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,06:00,• Bến Xe An Sương - Quầy vé số 10,10h5m,16:05,• Bưu điện Cam Ranh,,388000.0,300000.0,-23,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,Sài Gòn,Nha Trang,3.8,2763
Quang Hạnh (NT),3.6 (362),Limousine 22 phòng đơn (WC),19:00,• Cổng Đại Học Nông Lâm (Quốc Lộ 1A),8h25m,03:25,• Bến Xe Phía Nam Nha Trang Mới,(12/10),480000.0,350000.0,-27,Lưu ý kích cỡ giường,4.1,3.7,3.9,3.9,3.8,3.6,3.6,Sài Gòn,Nha Trang,3.6,362
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:40,• Cầu vượt Linh Xuân,6h15m,23:55,• Ngã 3 Thành,,600000.0,600000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:00,• Ngã 4 Gò Mây,7h20m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mộc Thảo,4.6 (1665),Limousine 24 giường,20:15,• Cầu vượt Linh Xuân,10h,06:15,• Ngã 3 Thành,(12/10),450000.0,450000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,1665
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng Đôi,16:32,• Bến xe Miền Tây,9h55m,02:27,• Ngã 3 Thành,(12/10),880000.0,880000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,17:30,• Cầu vượt Tân Thới Hiệp,6h55m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,17:40,• Cầu Vượt Quang Trung,6h45m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Phúc Yên,4.6 (741),Limousine 24 phòng,17:15,• Ngã 4 Bình Phước,8h30m,01:45,• Nha Trang (Dọc quốc lộ 1A),(12/10),400000.0,400000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,741
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),19:45,• Cầu Vượt Linh Xuân,4h45m,00:30,• Bưu điện Cam Lâm,(12/10),490000.0,380000.0,-22,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,Sài Gòn,Nha Trang,4.0,12922
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:05,• Bãi Xe 39 Quốc Lộ 1A,7h15m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Ngàn Hà (Bình Định),3.8 (61),Limousine 24 phòng đôi,18:31,• Văn phòng Sài Gòn,7h25m,01:56,• Ngã 3 Thành,(12/10),500000.0,400000.0,-20,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.8,61
Phúc Yên,4.6 (741),Limousine 24 phòng,16:55,• Ngã 4 An Sương,8h50m,01:45,• Nha Trang (Dọc quốc lộ 1A),(12/10),400000.0,400000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,741
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,17:50,• Ngã 4 Ga,6h35m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,16:50,• Hương Lộ 2,7h30m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:45,• Ngã 4 Ga,6h35m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Giường nằm 4x chỗ,18:55,• Cầu vượt Linh Xuân,6h15m,01:10,• Ngã 3 Thành,(12/10),310000.0,310000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,17:20,• Ngã 4 An Sương,7h5m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,17:05,• Ngã 4 Gò Mây,7h20m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,18:10,• Cầu vượt Linh Xuân,6h15m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:35,• Cầu Vượt Quang Trung,6h45m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:55,• Ngã 4 Bình Phước,6h25m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:25,• Ngã 4 Bình Phước,6h30m,23:55,• Ngã 3 Thành,,600000.0,600000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,19:15,• Cầu vượt Linh Xuân,6h15m,01:30,• Ngã 3 Thành,(12/10),500000.0,500000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Giường nằm 4x chỗ,18:50,• Cầu Vượt Sóng Thần,6h20m,01:10,• Ngã 3 Thành,(12/10),310000.0,310000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,18:20,• Cổng Bến xe Miền Đông Mới,6h5m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:15,• Ngã 4 An Sương,7h5m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,18:15,• Cổng Bến xe Miền Đông Mới,6h5m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,18:05,• Cầu vượt Linh Xuân,6h15m,00:20,• Ngã 3 Thành,(12/10),660000.0,660000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng,17:35,• Cầu Vượt Sóng Thần,6h20m,23:55,• Ngã 3 Thành,,600000.0,600000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Mạnh Hùng,3.1 (289),Limousine 24 Phòng Đôi,18:00,• Ngã 4 Bình Phước,6h25m,00:25,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.1,289
Quang Hạnh (NT),3.6 (362),Limousine 24 phòng đơn,20:15,• Ngã 4 An Sương,7h30m,03:45,• Bến Xe Phía Nam Nha Trang Mới,(12/10),430000.0,420000.0,-2,Lưu ý kích cỡ giường,4.1,3.7,3.9,3.9,3.8,3.6,3.6,Sài Gòn,Nha Trang,3.6,362
Mộc Thảo,4.6 (1665),Limousine 34 giường,19:40,• Văn Phòng Bình Thạnh,10h25m,06:05,• Ngã 3 Thành,(12/10),320000.0,320000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,1665
Mạnh Hùng (Bình Định),2.8 (300),Giường nằm 4x chỗ,17:30,• Ngã 4 Bình Phước,8h55m,02:25,• Ngã 3 Thành,(12/10),330000.0,330000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng Đôi,17:31,• Cổng Bến xe Miền Đông Mới,8h55m,02:26,• Ngã 3 Thành,(12/10),1000000.0,1000000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng,17:31,• Ngã 4 Bình Phước,8h55m,02:26,• Ngã 3 Thành,(12/10),550000.0,550000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Mạnh Hùng (Bình Định),2.8 (300),Limousine 22 Phòng Đôi,17:32,• Ngã 4 Bình Phước,8h55m,02:27,• Ngã 3 Thành,(12/10),880000.0,880000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,2.8,300
Phúc Yên,4.6 (741),Limousine 34 phòng,17:05,• Cây xăng Quốc Phong,8h40m,01:45,• Nha Trang (Dọc quốc lộ 1A),(12/10),290000.0,290000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,741
Phúc Yên,4.6 (741),Limousine 34 phòng,16:50,• Ngã 4 An Sương,8h55m,01:45,• Nha Trang (Dọc quốc lộ 1A),(12/10),290000.0,290000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,741
Mộc Thảo,4.6 (1665),Limousine 24 giường,19:50,• Văn Phòng Bình Thạnh,10h25m,06:15,• Ngã 3 Thành,(12/10),450000.0,450000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.6,1665
Thuận Phát (Bình Định),5 (67),Limousine 24 Phòng,17:40,• Bãi Xe Bảo Trân (Đối diện Cổng số 3 Bến Xe Miền Đông),5h50m,23:30,• Nha Trang (Dọc Quốc lộ 1A),,520000.0,520000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,5.0,67
Hoàng Huy (Quảng Ngãi),4.3 (7),Giường nằm 44 chỗ,12:00,• Chợ Mới An Sương,8h40m,20:40,• Ngã 3 nhà máy sợi Nha Trang,,400000.0,400000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.3,7
Sao Limousine,4.1 (11),Limousine giường phòng 22 chỗ,18:30,• Bến xe Miền Đông Mới,8h30m,03:00,• Nha Trang,(12/10),420000.0,420000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.1,11
Hoàng Huy (Quảng Ngãi),4.3 (7),Limousine giường phòng 22 chỗ,16:00,• Chợ Mới An Sương,8h40m,00:40,• Ngã 3 nhà máy sợi Nha Trang,(12/10),560000.0,560000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,4.3,7
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:30,• Văn Phòng Sài Gòn,7h30m,06:00,• Văn Phòng Nha Trang,(12/10),470000.0,470000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:30,• Văn Phòng Sài Gòn,7h40m,06:10,• Chợ Vĩnh Lương,(12/10),480000.0,480000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:45,• Trạm Phúc An Express,7h15m,06:00,• Văn Phòng Nha Trang,(12/10),470000.0,470000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:45,• Trạm Phúc An Express,7h25m,06:10,• Chợ Vĩnh Lương,(12/10),480000.0,480000.0,0,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,Sài Gòn,Nha Trang,4.7,3425
Quỳnh Nhật,3.7 (279),Limousine 24 phòng,10:00,• Bến xe Miền Đông mới,8h5m,18:05,• Ngã 3 Thành.,,650000.0,650000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.7,279
Quỳnh Nhật,3.7 (279),Limousine 24 phòng,09:00,• Bến xe An Sương,9h5m,18:05,• Ngã 3 Thành.,,650000.0,650000.0,0,,4.7,4.6,4.7,4.6,4.6,4.5,4.7,Sài Gòn,Nha Trang,3.7,279
36 Limousine,4.8 (502),Limousine 11 chỗ,9:00,• Văn phòng Đồng Tàu,2h30m,11:30,• Văn phòng Thanh Hóa,,230000.0,230000.0,0,,4.8,4.8,4.8,4.7,4.7,4.7,4.7,Hà Nội,Thanh Hóa,4.8,502
Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,13:00,• Bến xe Nước Ngầm,3h,16:00,• Bến xe Thọ Xuân,,230000.0,200000.0,-13,,4.9,4.9,4.9,4.9,4.9,4.9,5.0,Hà Nội,Thanh Hóa,4.8,32
Thành Trung Limousine,4 (113),Limousine 9 chỗ,7:00,• Văn phòng Hà Nội,2h,9:00,• Văn Phòng Thanh Hóa,,230000.0,210000.0,-9,,4.4,3.9,4.0,4.3,4.3,3.9,4.3,Hà Nội,Thanh Hóa,4.0,113
Vĩnh Quang,4.8 (25),Limousine 10 chỗ,11:25,• VP Linh Đàm,2h30m,13:55,• VP Thanh Hóa - 143 Lê Hồng Phong,,170000.0,170000.0,0,,5.0,4.8,4.9,4.9,4.9,4.9,4.8,Hà Nội,Thanh Hóa,4.8,25
Thơm Phụng,4.6 (18),Giường nằm 46 chỗ,15:30,• Bến xe Nước Ngầm,2h15m,17:45,• Big C Thanh Hóa,,150000.0,150000.0,0,,4.9,4.6,4.8,4.8,4.6,4.5,5.0,Hà Nội,Thanh Hóa,4.6,18
Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,13:00,• Văn Phòng Hà Nội,2h30m,15:30,• Bến xe phía Tây Thanh Hóa,,210000.0,210000.0,0,,4.8,4.7,4.7,4.6,4.7,4.6,4.8,Hà Nội,Thanh Hóa,4.7,87
Bình Hoài Limousine,4 (297),Limousine 10 chỗ,15:00,• Văn phòng Hoàng Mai,2h50m,17:50,• Tượng đài Lê Lợi,,230000.0,230000.0,0,,4.2,4.0,4.1,4.3,4.1,4.0,4.6,Hà Nội,Thanh Hóa,4.0,297
An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,10:00,• Văn Phòng Hà Nội,3h,13:00,• VP Thanh Hóa,,250000.0,250000.0,0,,4.2,3.9,3.9,4.1,3.9,3.8,5.0,Hà Nội,Thanh Hóa,4.0,23
FUTA HÀ SƠN,4.8 (318),Limousine 34 chỗ,17:30,"• Bến xe Giáp Bát, Hà Nội",2h30m,20:00,"• Nút giao Hà Lĩnh, Hà Trung, Thanh Hóa",,300000.0,300000.0,0,,4.9,4.7,4.8,4.8,4.8,4.7,4.8,Hà Nội,Thanh Hóa,4.8,318
Thăng Long,4.6 (438),Giường nằm 40 chỗ,22:10,• Ngã tư Cổ Nhuế - Phạm Văn Đồng,4h45m,2:55,• Big C Thanh Hóa,(16/10),200000.0,200000.0,0,,4.8,4.7,4.8,4.7,4.4,4.5,4.8,Hà Nội,Thanh Hóa,4.6,438
36 Limousine,4.8 (502),Limousine 11 chỗ,20:00,• Văn phòng Đồng Tàu,2h30m,22:30,• Văn phòng Thanh Hóa,,230000.0,230000.0,0,,4.8,4.8,4.8,4.7,4.7,4.7,4.7,Hà Nội,Thanh Hóa,4.8,502
Vĩnh Quang,4.8 (25),Limousine 10 chỗ,10:25,• VP Linh Đàm,2h30m,12:55,• VP Thanh Hóa - 143 Lê Hồng Phong,,170000.0,170000.0,0,,5.0,4.8,4.9,4.9,4.9,4.9,4.8,Hà Nội,Thanh Hóa,4.8,25
Thành Trung Limousine,4 (113),Limousine 11 chỗ,20:00,• Văn phòng Hà Nội,2h,22:00,• Văn Phòng Thanh Hóa,,230000.0,210000.0,-9,,4.4,3.9,4.0,4.3,4.3,3.9,4.3,Hà Nội,Thanh Hóa,4.0,113
Thơm Phụng,4.6 (18),Limousine 24 phòng,16:30,• Bến xe Nước Ngầm,2h15m,18:45,• Big C Thanh Hóa,,200000.0,200000.0,0,,4.9,4.6,4.8,4.8,4.6,4.5,5.0,Hà Nội,Thanh Hóa,4.6,18
Đức Phát (Thanh Hóa),4.7 (87),Limousine 24 phòng,13:00,• Bến xe Giáp Bát,2h30m,15:30,• Bến xe phía Tây Thanh Hóa,,250000.0,250000.0,0,,4.8,4.7,4.7,4.6,4.7,4.6,4.8,Hà Nội,Thanh Hóa,4.7,87
Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,20:00,• Bến xe Nước Ngầm,3h,23:00,• Bến xe Thọ Xuân,,230000.0,200000.0,-13,,4.9,4.9,4.9,4.9,4.9,4.9,5.0,Hà Nội,Thanh Hóa,4.8,32
Bình Hoài Limousine,4 (297),Limousine 10 chỗ,14:00,• Văn phòng Hoàng Mai,2h50m,16:50,• Tượng đài Lê Lợi,,230000.0,230000.0,0,,4.2,4.0,4.1,4.3,4.1,4.0,4.6,Hà Nội,Thanh Hóa,4.0,297
An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,19:00,• Văn Phòng Hà Nội,3h,22:00,• VP Thanh Hóa,,250000.0,250000.0,0,,4.2,3.9,3.9,4.1,3.9,3.8,5.0,Hà Nội,Thanh Hóa,4.0,23
FUTA HÀ SƠN,4.8 (318),Limousine 34 chỗ,23:50,"• Bến xe Nước Ngầm, Hà Nội",2h,1:50,"• Nút giao Gia Miêu, Hà Trung, Thanh Hóa",(16/10),200000.0,200000.0,0,,4.9,4.7,4.8,4.8,4.8,4.7,4.8,Hà Nội,Thanh Hóa,4.8,318
Thăng Long,4.6 (438),Giường nằm 40 chỗ,23:15,• Bến xe Nước Ngầm,3h,2:15,• Big C Thanh Hóa,(16/10),200000.0,200000.0,0,,4.8,4.7,4.8,4.7,4.4,4.5,4.8,Hà Nội,Thanh Hóa,4.6,438
Nam Quỳnh Anh,4.2 (2035),Limousine 22 phòng VIP,21:30,• Bến xe Sơn Tây,5h,2:30,• Big C Thanh Hóa,(16/10),350000.0,350000.0,0,,4.5,4.3,4.5,4.2,4.2,4.2,4.7,Hà Nội,Thanh Hóa,4.2,2035
HM Happycar,4.6 (264),Limousine 24 phòng KL VIP,20:00,• 1 Tân An Bình (Hà Nội),3h,23:00,• Thanh Hóa,,300000.0,300000.0,0,,4.6,4.5,4.6,4.5,4.6,4.5,4.6,Hà Nội,Thanh Hóa,4.6,264
Phú Quý,4.3 (468),Limousine giường phòng 22 phòng (WC) (new),22:40,• Bến xe Nước Ngầm,3h,1:40,• BigC Thanh Hóa,(16/10),400000.0,400000.0,0,,4.4,4.3,4.4,4.5,4.1,4.2,4.9,Hà Nội,Thanh Hóa,4.3,468
Bảo Ngọc Limousine,4.2 (18),Limousine giường nằm 32 chỗ,17:00,• Bến xe Nước Ngầm,2h25m,19:25,• BigC Thanh Hóa,,220000.0,220000.0,0,,4.8,4.9,4.9,4.9,4.2,4.2,5.0,Hà Nội,Thanh Hóa,4.2,18
36 Limousine,4.8 (502),Limousine 11 chỗ,15:00,• Văn phòng Đồng Tàu,2h30m,17:30,• Văn phòng Thanh Hóa,,230000.0,230000.0,0,,4.8,4.8,4.8,4.7,4.7,4.7,4.7,Hà Nội,Thanh Hóa,4.8,502
36 Limousine,4.8 (502),Limousine 11 chỗ,5:30,• Văn phòng Đồng Tàu,2h30m,8:00,• Văn phòng Thanh Hóa,,230000.0,230000.0,0,,4.8,4.8,4.8,4.7,4.7,4.7,4.7,Hà Nội,Thanh Hóa,4.8,502
