departure_date,departure_time,arrival_time,duration_minutes
15-10-2025,04:30:00,08:00:00,210
15-10-2025,05:30:00,08:30:00,180
15-10-2025,07:30:00,10:30:00,180
15-10-2025,08:30:00,12:00:00,210
15-10-2025,09:30:00,12:30:00,180
15-10-2025,10:30:00,13:30:00,180
15-10-2025,06:30:00,09:30:00,180
15-10-2025,08:30:00,11:30:00,180
15-10-2025,16:50:00,20:05:00,195
15-10-2025,23:55:00,03:10:00,195
15-10-2025,15:20:00,18:35:00,195
15-10-2025,23:30:00,02:45:00,195
15-10-2025,12:05:00,15:20:00,195
15-10-2025,16:45:00,22:00:00,315
15-10-2025,07:30:00,10:55:00,205
15-10-2025,06:40:00,11:40:00,300
15-10-2025,00:30:00,02:30:00,120
15-10-2025,10:15:00,13:30:00,195
15-10-2025,11:15:00,14:30:00,195
15-10-2025,12:15:00,15:30:00,195
15-10-2025,10:15:00,13:00:00,165
15-10-2025,18:15:00,21:30:00,195
15-10-2025,08:15:00,11:00:00,165
15-10-2025,08:15:00,11:30:00,195
15-10-2025,17:15:00,20:00:00,165
15-10-2025,12:15:00,15:00:00,165
15-10-2025,17:15:00,20:30:00,195
15-10-2025,14:15:00,17:00:00,165
15-10-2025,15:15:00,18:00:00,165
15-10-2025,16:15:00,19:00:00,165
15-10-2025,16:15:00,19:30:00,195
15-10-2025,11:15:00,14:00:00,165
15-10-2025,13:15:00,16:00:00,165
15-10-2025,15:15:00,18:30:00,195
15-10-2025,18:15:00,21:00:00,165
15-10-2025,14:15:00,17:30:00,195
15-10-2025,13:15:00,16:30:00,195
15-10-2025,19:15:00,22:00:00,165
15-10-2025,19:15:00,22:30:00,195
15-10-2025,09:15:00,12:00:00,165
15-10-2025,09:15:00,12:30:00,195
15-10-2025,22:15:00,01:00:00,165
15-10-2025,22:15:00,01:30:00,195
15-10-2025,21:15:00,00:30:00,195
15-10-2025,06:15:00,09:00:00,165
15-10-2025,21:15:00,00:00:00,165
15-10-2025,06:15:00,09:30:00,195
15-10-2025,19:15:00,21:15:00,120
15-10-2025,18:00:00,21:15:00,195
15-10-2025,05:00:00,07:00:00,120
15-10-2025,06:00:00,08:00:00,120
15-10-2025,08:00:00,10:00:00,120
15-10-2025,19:30:00,22:45:00,195
15-10-2025,20:30:00,23:45:00,195
15-10-2025,16:00:00,19:15:00,195
15-10-2025,05:00:00,07:30:00,150
15-10-2025,08:00:00,10:30:00,150
15-10-2025,06:00:00,08:30:00,150
15-10-2025,05:15:00,08:30:00,195
15-10-2025,05:15:00,08:00:00,165
15-10-2025,07:15:00,10:00:00,165
15-10-2025,04:15:00,07:00:00,165
