bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,start_point,destination
Cúc Tùng,14:00:00,Văn phòng,23:50:00,Văn phòng,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,340000000,299000000,12.0,Saturday,11-10-2025,590,Sài Gòn,Nha Trang - Khánh Hoà
Phúc An Express,20:00:00,Văn phòng,03:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,3425,32,300000000,300000000,0.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,19:00:00,Văn phòng,04:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,540,Sài Gòn,Nha Trang - Khánh Hoà
Đà Lạt ơi,23:49:00,Other,05:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,341,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,22:10:00,Văn phòng,05:10:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,09:00:00,Văn phòng,16:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,12:30:00,Văn phòng,19:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,13:15:00,Bến xe,19:20:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,32,320000000,250000000,22.0,Saturday,11-10-2025,365,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,10:00:00,Văn phòng,17:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,20:00:00,Văn phòng,02:10:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,10:00:00,Văn phòng,16:10:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:20:00,Văn phòng,04:30:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,12:10:00,Văn phòng,18:20:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,15:00:00,Văn phòng,22:00:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:40:00,Văn phòng,05:50:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Đà Lạt ơi,23:00:00,Other,06:30:00,Other,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425,24,450000000,320000000,29.0,Saturday,11-10-2025,450,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,22:20:00,Văn phòng,05:20:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,300000000,300000000,0.0,Saturday,11-10-2025,420,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,12:05:00,Văn phòng,18:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Huỳnh Gia,22:45:00,Văn phòng,05:15:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,390,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:35:00,Văn phòng,05:45:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,23:01:00,Văn phòng,05:11:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,10:30:00,Văn phòng,16:40:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,09:00:00,Văn phòng,15:10:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,22:30:00,Văn phòng,04:40:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,38,270000000,270000000,0.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Bình Minh Tải,12:15:00,Văn phòng,19:20:00,Văn phòng,4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650,32,320000000,250000000,22.0,Saturday,11-10-2025,425,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,14:25:00,Văn phòng,20:35:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,13:10:00,Văn phòng,19:20:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,11:15:00,Văn phòng,17:25:00,Văn phòng,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,370,Sài Gòn,Nha Trang - Khánh Hoà
Khanh Phong,14:25:00,Văn phòng,20:20:00,Other,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn,Nha Trang - Khánh Hoà
