,pick_up_point,drop_of_point
230,Bến xe Nước Ngầm,Bến xe phía Tây Thanh Hóa
231,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
232,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
233,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
234,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
235,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
236,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
237,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
238,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
239,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
240,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
241,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
242,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
243,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
244,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
245,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
246,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
247,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
248,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
249,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
250,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
251,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
252,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
253,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
254,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
255,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
256,Văn Phòng Hà Nội,Văn phòng Bỉm Sơn
257,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
258,Văn Phòng Hà Nội,Văn phòng Hậu Lộc
259,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
260,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
261,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
262,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
263,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
264,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
265,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
266,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
267,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
268,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
269,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
270,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
271,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
272,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
273,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
274,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
275,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
276,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
277,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
278,"Bến xe Giáp Bát, Hà Nội","Nút giao Hà Lĩnh, Hà Trung, Thanh Hóa"
279,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
280,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
281,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
282,"Bến xe Giáp Bát, Hà Nội","Nút giao Hà Lĩnh, Hà Trung, Thanh Hóa"
283,"Bến xe Nước Ngầm, Hà Nội","Nút giao Gia Miêu, Hà Trung, Thanh Hóa"
284,Văn phòng Hà Nội,Văn phòng Nghi Sơn
285,Văn phòng Hà Nội,Văn phòng Nghi Sơn
286,Văn phòng Hà Nội,Văn phòng Nghi Sơn
287,Văn phòng Hà Nội,Văn phòng Nghi Sơn
288,Văn phòng Hà Nội,Văn phòng Nghi Sơn
289,Văn phòng Hà Nội,Văn phòng Nghi Sơn
290,Văn phòng Hà Nội,Văn phòng Nghi Sơn
291,Văn phòng Hà Nội,Văn phòng Nghi Sơn
292,Văn phòng Hà Nội,Văn phòng Nghi Sơn
293,Văn phòng Hà Nội,Văn phòng Nghi Sơn
294,Bến xe Nước Ngầm,Big C Thanh Hóa
295,Văn phòng Hà Nội,Văn phòng Nghi Sơn
296,Văn phòng Hà Nội,Văn phòng Nghi Sơn
297,Văn phòng Hà Nội,Văn phòng Nghi Sơn
298,Văn phòng Hà Nội,Văn phòng Nghi Sơn
299,Văn phòng Hà Nội,Văn phòng Nghi Sơn
300,Nhổn,Big C Thanh Hóa
301,Ngã 4 Chợ Gạch,Big C Thanh Hóa
302,Thăng Long Number One,Big C Thanh Hóa
303,Bến xe Nước Ngầm,BigC Thanh Hóa
304,Bến xe Nước Ngầm,BigC Thanh Hóa
305,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
306,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
307,Bến xe Nước Ngầm,Bến xe Thọ Xuân
308,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
309,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
310,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
311,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
312,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
313,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
314,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
315,Bến xe Nước Ngầm,Bến xe Thọ Xuân
316,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
317,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
318,Bến xe Nước Ngầm,Bến xe Thọ Xuân
319,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
320,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
321,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
322,Bến xe Nước Ngầm,Văn Phòng Quảng Xương
323,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
324,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
325,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
326,Bến xe Nước Ngầm,Bến xe phía bắc Thanh Hóa
327,Bến xe Nước Ngầm,Bến xe Thọ Xuân
328,Bến xe Nước Ngầm,Bến xe Thọ Xuân
329,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
330,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
331,Bến xe Nước Ngầm,Văn Phòng Nghi Sơn
332,Văn phòng 64 Võ Chí Công,Văn phòng Thanh Hóa - 143 Lê Hồng Phong
333,Bến xe Nước Ngầm,Bến xe khách Triệu Sơn
334,Bến xe Nước Ngầm,Bến xe khách Sầm Sơn
