bus_company,bus_star,bus_type,departure_time,pick_up_point,duration_h_m,arrival_time,drop_off_point,arrival_date,original_price,sale_price,discount_percent,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),12:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,18:15,• Văn Phòng Nha Trang (KS Mường Thanh),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),22:45,• Văn Phòng Phạm Ngũ Lão,6h30m,05:15,• Văn Phòng Nha Trang,(12/10),280.000,238.000,-15%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:35,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:45,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),320.000,300.000,-6%,Quý khách lưu ý,,,,,,,,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:01,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:11,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),10:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,16:40,• Văn Phòng Nha Trang (KS Mường Thanh),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),09:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,15:10,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Giường nằm 38 chỗ (WC),22:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,04:40,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),270.000,270.000,,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Bình Minh Tải,4.7 (3650),Limousine 32 Phòng (WC),12:15,• Văn Phòng Quận 1,7h5m,19:20,• Văn phòng Nha Trang,,320.000,250.000,-22%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),14:25,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,20:35,• Văn Phòng Nha Trang (KS Mường Thanh),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),13:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,19:20,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),11:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,17:25,• Văn Phòng Nha Trang (KS Mường Thanh),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),14:25,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,20:20,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),10:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,16:25,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),17:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,23:25,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
An Anh Limousine,4.8 (8322),Limousine 24 Phòng Đôi,22:30,• Văn Phòng Quận 5,6h30m,05:00,• Văn phòng Nha Trang,(12/10),449.000,349.000,-22%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
An Anh Limousine,4.8 (8322),Limousine 24 Phòng Đôi,12:00,•  502 Quốc lộ 13,6h30m,18:30,• Văn phòng Nha Trang,,449.000,299.000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),20:30,• Văn Phòng Phạm Ngũ Lão,7h,03:30,• Văn Phòng Nha Trang,(12/10),480.000,450.000,-6%,,4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),05:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,11:10,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,480.000,400.000,-17%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),20:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,02:15,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),22:20,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,04:15,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine 22 Phòng Đôi Luxury (WC),23:10,• Văn phòng Nguyễn Cư Trinh Quận 1,6h36m,05:46,• Vp Thích Quảng Đức Nha Trang,(12/10),349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),14:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,20:25,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),13:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,19:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),09:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,14:55,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),21:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,03:15,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:35,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,05:30,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),11:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,17:10,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),13:30,• Bến Xe Miền Đông Mới (Quầy 120),6h50m,20:20,• Vp Thích Quảng Đức Nha Trang,,349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),10:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,15:55,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),23:00,• Văn Phòng Phạm Ngũ Lão,7h,06:00,• Văn Phòng Nha Trang,(12/10),480.000,456.000,-5%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),12:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,18:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),22:40,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,04:50,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),16:50,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,23:00,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),22:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,04:05,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 21 đôi (WC),23:15,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,07:05,• Vp Thích Quảng Đức Nha Trang,(12/10),349.000,304.000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),15:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,21:25,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:25,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:35,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:15,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:01,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,04:56,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:40,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,05:35,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),13:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,19:05,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:20,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:25,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,05:20,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),21:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,03:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),14:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,20:40,• Văn Phòng Nha Trang (KS Mường Thanh),,480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:20,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,05:15,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),320.000,300.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Huỳnh Gia,4.7 (8534),Limousine 21 giường phòng (WC),22:30,• Văn Phòng Phạm Ngũ Lão,7h,05:30,• Văn Phòng Nha Trang.,(12/10),480.000,456.000,-5%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,
Khanh Phong,4.7 (16845),Giường nằm 38 chỗ (WC),22:30,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,04:25,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),270.000,270.000,,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,05:00,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),08:15,• Bến Xe An Sương (Quầy vé 17),8h15m,16:30,• Văn Phòng Diên Toàn,,490.000,300.000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 32 giường (WC),19:30,• Bến Xe An Sương (Quầy vé 17),10h,05:30,• Văn Phòng Diên Toàn,(12/10),330.000,280.000,-15%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),07:30,• Văn phòng quận 5,9h,16:30,• Văn Phòng Diên Toàn,,490.000,300.000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),21:00,• Văn phòng quận 5,9h30m,06:30,• Văn phòng Nha Trang,(12/10),500.000,300.000,-40%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),08:00,• Văn phòng Bình Thạnh,8h30m,16:30,• Văn Phòng Diên Toàn,,490.000,300.000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:10,• Văn Phòng Phạm Ngũ Lão - Quận 1.,5h55m,05:05,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Liên Hưng,4 (12922),Limousine 32 giường (WC),22:00,• Cầu Vượt Linh Xuân,7h30m,05:30,• Văn Phòng Diên Toàn,(12/10),330.000,280.000,-15%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 32 giường (WC),22:30,• Bến Xe Miền Đông Mới,7h,05:30,• Văn Phòng Diên Toàn,(12/10),330.000,280.000,-15%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),06:30,• Bến Xe An Sương (Quầy vé 17),10h,16:30,• Văn Phòng Diên Toàn,,490.000,300.000,-39%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),20:30,• Văn Phòng Bình Thạnh,9h50m,06:20,• Văn Phòng Nha Trang,(12/10),340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),20:00,• Bến xe Miền Đông mới,9h20m,05:20,• Văn Phòng Nha Trang,(12/10),531.000,299.000,-44%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),21:00,• Văn Phòng Bình Thạnh,9h50m,06:50,• Văn Phòng Nha Trang,(12/10),340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Liên Hưng,4 (12922),Limousine 32 giường (WC),07:30,• Văn phòng quận 5,10h30m,18:00,• Văn Phòng Diên Toàn,,330.000,250.000,-24%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),11:00,• Văn Phòng Bình Thạnh,9h50m,20:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),12:00,• Văn Phòng Bình Thạnh,9h50m,21:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),21:45,• Bến xe Miền Tây (Quầy 24),8h45m,06:30,• Văn phòng Nha Trang,(12/10),500.000,300.000,-40%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,06:00,• Văn Phòng Bình Thạnh,9h50m,15:50,• Văn Phòng Nha Trang,,362.000,300.000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),21:30,• Văn phòng quận 5,9h30m,07:00,• Văn phòng Nha Trang,(12/10),500.000,300.000,-40%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),10:15,• Văn phòng Bình Thạnh,8h30m,18:45,• Văn Phòng Diên Toàn,,490.000,300.000,-39%,Hướng đi: Cao tốc Vĩnh Hảo - Dầu Giây,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),14:30,• Bến xe Miền Đông mới,9h20m,23:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Xe Nhà,4.3 (3213),Limousine 20 phòng đơn (WC),21:10,• Bến xe Miền Đông mới,8h30m,05:40,• VP Nha Trang - Xe Nhà,(12/10),350.000,310.000,-11%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),12:30,• Bến xe Miền Đông mới,9h20m,21:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),10:15,• Văn Phòng Quận 5,10h35m,20:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Quang Hạnh (NT),3.6 (362),Limousine 22 phòng đơn (WC),17:30,• Bến xe Miền Tây (Quầy 25),9h25m,02:55,• Bến Xe Phía Nam Nha Trang Mới,(12/10),480.000,350.000,-27%,Lưu ý kích cỡ giường,4.1,3.7,3.9,3.9,3.8,3.6,3.6,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:30,• Bến xe Miền Đông mới,9h,18:30,• Bến Xe Phía Nam Diên Khánh,,571.000,299.000,-48%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Hà Linh,4.1 (1329),Limousine 22 Phòng,20:15,• An Sương - Siêu thị đá,9h,05:15,• Văn Phòng Nha Trang,(12/10),400.000,379.000,-5%,,4.4,4.3,4.3,4.2,4.0,4.0,4.8,
Liên Hưng,4 (12922),Limousine 32 giường (WC),13:00,• Bến xe Miền Tây (Quầy 24),10h,23:00,• Văn Phòng Diên Toàn,,330.000,250.000,-24%,,4.3,4.2,4.3,4.1,4.0,3.9,4.2,
Hà Linh,4.1 (1329),Limousine 24 Phòng - Không WC,18:15,• An Sương - Siêu thị đá,9h,03:15,• Văn Phòng Nha Trang,(12/10),680.000,399.000,-41%,,4.4,4.3,4.3,4.2,4.0,4.0,4.8,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),21:00,• Bến xe Miền Đông mới,9h20m,06:20,• Văn Phòng Nha Trang,(12/10),340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),19:30,• Văn Phòng Bình Thạnh,9h50m,05:20,• Văn Phòng Nha Trang,(12/10),531.000,299.000,-44%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),22:30,• Bến xe Miền Đông mới,9h20m,07:50,• Văn Phòng Nha Trang,(12/10),541.000,299.000,-45%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:00,• Trường THCS An Phú Đông (QL1A),7h,03:00,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:45,• Trường THCS An Phú Đông (QL1A),7h,01:45,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,18:45,• Trường THCS An Phú Đông (QL1A),6h15m,01:00,• Văn phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),11:30,• Bến xe Miền Đông mới,9h20m,20:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,19:15,• Cầu vượt Linh Xuân,6h30m,01:45,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,19:45,• Siêu thị Đá An Sương,7h15m,03:00,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:15,• Trường THCS An Phú Đông (QL1A),7h,03:15,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:45,• Cầu vượt Linh Xuân,6h30m,03:15,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:00,• Ngã 4 An Sương,7h15m,03:15,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),09:30,• Bến xe Miền Đông mới,9h20m,18:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,20:15,• Cầu vượt Linh Xuân,6h45m,03:00,• Văn Phòng Nha Trang,(12/10),470.000,420.000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),23:00,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:10,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),480.000,450.000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),07:30,• Bến xe Miền Đông mới,9h20m,16:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
Cúc Tùng,3.8 (2763),Limousine giường nằm đơn 21 chỗ (WC),07:00,• Văn Phòng Bình Thạnh,9h50m,16:50,• Văn Phòng Nha Trang,,340.000,299.000,-12%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,
