company_name,bus_rating,seat_type,departure_time,pickup_point,arrival_date,arrival_time,dropoff_point,duration,price_original,price_discounted,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
Bình Minh Tải,4.7 (3774),Limousine 22 Phòng Đơn,22:30,• Văn Phòng Quận 1,(02/11),05:35,• Văn phòng Nha Trang,7h5m,350.000,Từ 300.000đ,-14%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.6,4.7,4.6,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),23:35,• Văn phòng Phạm Ngũ Lão,(02/11),05:45,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Đà Lạt ơi,4.8 (3504),Limousine 24 Phòng ĐÔI,23:30,• Trạm Hàng Xanh,(02/11),05:30,• Trạm Nha Trang,6h,450.000,Từ 239.000đ,-47%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Nhật Dương - Bình Minh Bus,4.9 (5962),Limousine 22 Phòng Đôi Luxury (WC),17:00,• Văn phòng Nguyễn Cư Trinh Quận 1,,23:36,• Vp Thích Quảng Đức Nha Trang,6h36m,349.000,Từ 299.000đ,-14%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
An Anh Limousine,4.8 (8512),Limousine 24 Phòng Đôi,23:00,• Văn Phòng Quận 5,(02/11),05:30,• Văn phòng Nha Trang,6h30m,449.000,Từ 349.000đ,-22%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.8,4.7,4.7,4.7
Liên Hưng,4 (13034),Limousine 21 phòng đơn (WC),22:15,• Bến xe Miền Tây (Quầy 24),(02/11),07:00,• Văn phòng Nha Trang,8h45m,500.000,Từ 300.000đ,-40%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.3,4.2,4.3,4.1,4.0,3.9,4.2
Huỳnh Gia,4.7 (8654),Giường nằm 34 chỗ (WC),23:00,• Văn Phòng Phạm Ngũ Lão,(02/11),05:30,• Văn Phòng Nha Trang,6h30m,280.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.8,4.7,4.6,4.6,4.8
Bus365,4.7 (180),Limousine 24 phòng đôi,22:00,• Bến Xe Miền Đông Mới,(02/11),04:00,• Văn Phòng Nha Trang,6h,400.000,Từ 289.000đ,-28%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.9,4.7,4.7,4.5
Trọng Thủy Limousine,4.7 (1378),Limousine 24 phòng Đôi,18:20,• Ngã 4 An Sương,(02/11),01:00,• Văn phòng Nha Trang,6h40m,470.000,Từ 350.000đ,-26%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.6,4.7,4.7,4.7,4.7,4.5
Nam Hải Limousine,4.7 (3596),Limousine 34 giường,22:20,• Văn Phòng Phạm Ngũ Lão,(02/11),06:20,• Văn Phòng Nha Trang,8h,300.000,270.000đ,-10%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.7,4.7,4.8
Phương Nam,4.7 (2465),Giường nằm 40 chỗ có toilet,22:00,• Văn phòng Quận 1,(02/11),06:52,• Văn Phòng Chung cư CT2,8h52m,240.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.8,4.8,4.7,4.7,4.7,4.8
Hạnh Cafe - Hà Phương Limousine,4.4 (7417),Limousine 34 Giường,11:00,• Văn phòng Quận 1,,19:30,• Văn phòng 106 Phong Châu,8h30m,300.000,280.000đ,-7%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.6,4.4,4.5,4.4,4.4,4.3,4.8
Cúc Tùng,3.8 (2826),Limousine giường nằm đơn 21 chỗ (WC),22:00,• Văn Phòng Bình Thạnh,(02/11),07:50,• Văn Phòng Nha Trang,9h50m,340.000,Từ 299.000đ,-12%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.1,4.0,3.9,3.7,4.1
Hà Linh,4.1 (1336),Limousine 22 Phòng,18:00,• Bến xe An Sương,(02/11),03:30,• Văn Phòng Nha Trang,9h30m,300.000,Từ 270.000đ,-10%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.4,4.3,4.3,4.2,4.0,4.0,4.8
Trà Lan Viên,4.4 (4224),Limousine 30 Phòng Đơn (WC),22:15,• Vp. Quận 1,(02/11),05:35,• VP Hà Quang 2,7h20m,280.000,200.000đ,-29%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Phúc An Express,4.7 (3440),Limousine 32 phòng (WC),20:00,• Văn Phòng Hồ Chí Minh,(02/11),03:00,• Văn Phòng Nha Trang,7h,300.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Quang Hạnh (NT),3.6 (364),Limousine 22 phòng đơn (WC),19:00,• Bến xe Miền Tây (Quầy 25),(02/11),04:25,• Bến Xe Phía Nam Nha Trang Mới,9h25m,480.000,Từ 350.000đ,-27%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.7,3.9,3.9,3.8,3.6,3.5
Quang Dũng VIP Limousine,3.7 (905),Giường phòng 32 chỗ (Có WC),05:30,• Bến Xe An Sương,,14:35,• Văn phòng Nha Trang,9h5m,550.000,495.000đ,-10%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Tài Phát Limousine,5 (1252),Limousine 24 Phòng Đôi,20:30,• Bến Xe Miền Đông cũ (333 ĐBL),(02/11),03:25,• Ngã 3 Thành (Cây xăng Petrolimex 11),6h55m,520.000,Từ 380.000đ,-27%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,5.0
Tín Phát Limousine,4.9 (58),Limousine 24 Phòng,17:45,• Văn Phòng Bình Thạnh,(02/11),00:00,• Ngã 3 Thành,6h15m,450.000,Từ 382.500đ,-15%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.9,4.9,4.9,4.9,4.9,4.9,4.7
Nguyên Khang Limousine,5 (13),Limousine 24 phòng,17:00,• Bến xe Miền Tây,,22:30,• Ngã 3 Thành,5h30m,450.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Hưng Thành (Bình Định),4.8 (70),Limousine 24 Phòng,16:40,• Bến xe Miền Tây,(02/11),00:00,• Ngã 3 Thành,7h20m,500.000,Từ 400.000đ,-20%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Như Ý 78 (Phú Yên),4.6 (142),Limousine 24 phòng,18:00,• Bến xe An Sương (Tp HCM).,(02/11),04:00,• Ninh Hòa (Dọc Quốc Lộ 1A),10h,200.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Tuấn Tú Express,4.5 (1415),Giường nằm 46 chỗ,17:02,• VP Aeon Mall Tân Phú,(02/11),01:02,• Khánh Hòa,8h,450.000,299.999đ,-33%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Mười Phương Express,4.1 (178),Limousine 24 phòng đôi,18:30,• Bến Xe 34 Tây Lân,(02/11),01:15,• Ngã Ba Thành,6h45m,400.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Rạng Đông Buslines,4.2 (1494),Limousine 24 Phòng VIP,15:01,• Bến xe An Sương (Phòng vé số 3),,22:46,• Ngã 3 nhà máy sợi Nha Trang,7h45m,600.000,Từ 480.000đ,-20%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
An Phú Buslines,4.6 (1208),Limousine 34 Phòng Đơn,18:00,• Bến Xe An Sương.,(02/11),01:45,• Ngã 3 Thành,7h45m,380.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.5,4.6,4.6,4.5,4.5,4.6
Thành Trung (Bình Định),4.2 (92),Limousine 24 phòng,16:30,• Văn Phòng Sài Gòn - Thành Trung (Bình Định),(02/11),01:00,• Ngã 3 Thành,8h30m,480.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Tuấn Hiệp,4 (1262),Limousine giường nằm 36 chỗ,01:20,• Siêu thị Đá An Sương,,11:10,• Bến Xe Phía Bắc Nha Trang,9h50m,280.000,,,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.1,3.9,4.0,3.9,3.8,3.7,4.2
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),14:25,• Văn phòng Phạm Ngũ Lão,,20:20,• Co.opmart Nha Trang (Phía mặt tiền đường Tố Hữu),5h55m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 32 giường nằm (WC),22:20,• Văn Phòng Phạm Ngũ Lão - Quận 1.,(02/11),04:30,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,320.000,300.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Khanh Phong,4.7 (17155),Limousine 20 giường phòng (WC),21:05,• Văn Phòng Phạm Ngũ Lão - Quận 1.,(02/11),03:15,• Văn Phòng Nha Trang (KS Mường Thanh),6h10m,480.000,Từ 450.000đ,-6%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Bình Minh Tải,4.7 (3774),Limousine 22 Phòng Đôi VIP (WC),23:00,• Văn Phòng Quận 1,(02/11),06:05,• Văn phòng Nha Trang,7h5m,395.000,Từ 289.000đ,-27%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,,,,,,,
Bình Minh Tải,4.7 (3774),Limousine 22 Phòng Đôi VIP (WC),23:15,• Văn Phòng Quận 1,(02/11),06:20,• Văn phòng Nha Trang,7h5m,395.000,Từ 289.000đ,-27%,"T7, 01/11/2025",Sài Gòn,Nha Trang - Khánh Hòa,4.7,4.6,4.7,4.6,4.6,4.6,4.8
